2025-04-11 13:54:06, Prediction: 0.12, Motion: 4.05, Detected: False
2025-04-11 13:54:07, Prediction: 0.14, Motion: 4.14, Detected: False
2025-04-11 13:54:07, Prediction: 0.16, Motion: 4.44, Detected: False
2025-04-11 13:54:07, Prediction: 0.24, Motion: 4.47, Detected: False
2025-04-11 13:54:07, Prediction: 0.25, Motion: 4.93, Detected: False
2025-04-11 13:54:07, Prediction: 0.25, Motion: 5.35, Detected: False
2025-04-11 13:54:08, Prediction: 0.25, Motion: 5.28, Detected: False
2025-04-11 13:54:08, Prediction: 0.29, Motion: 5.51, Detected: False
2025-04-11 13:54:08, Prediction: 0.32, Motion: 5.60, Detected: False
2025-04-11 13:54:08, Prediction: 0.27, Motion: 5.51, Detected: False
2025-04-11 13:54:09, Prediction: 0.25, Motion: 5.54, Detected: False
